,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross
0,A,AVY,-3.9920171338245876,0.007371750240243865,1.2457245359595834,0.001497052643133177,0.39767954924765897,37.00303485997136,117
1,AAL,AMGN,-3.759812983934822,0.015321915403762716,-2.435665781261654,0.01361689727548119,0.4017633550124229,51.06341254021508,97
2,AAL,APD,-3.776523938813158,0.014564293729431958,-3.8054665974858546,0.0027467498711485944,0.4186028881076538,52.41357867938485,74
3,ABT,ADSK,-3.838022553803918,0.012053245401411021,2.3421693718550025,0.0015298297614640324,0.4206728590679684,46.85638108933748,89
4,ABT,APD,-3.8867358929501217,0.010345356899417764,1.9446730707796853,0.0032563986247751593,0.4083044706047767,55.818921469223696,95
5,ABT,AWK,-3.7656542860685693,0.01505323217074372,1.113525299837362,0.0005064230123935266,0.40154633522694994,41.06370767805159,124
6,ADI,AME,-5.291294789408275,4.6321980442552055e-05,0.8468292434037291,7.53721275797313e-06,0.358656623284383,23.04220375036924,173
7,ADM,ALB,-3.758071079203226,0.01540285137984494,3.3864026593666083,0.005501564870896443,0.45368370315927886,61.97549267662484,54
8,ADP,AON,-4.056242904343843,0.005960673279084505,1.3795561254734168,0.002315888974836892,0.3619417203209146,46.98087589498637,98
9,ADSK,ALLE,-3.872839087819143,0.010809085188271728,0.2729982628851322,0.0013484951766080935,0.41517868922164125,44.69510295532759,87
10,ADSK,ANSS,-3.928053728159474,0.0090697636794745,1.2622517557340864,0.0033871270947208143,0.41360706619896265,49.92377177651411,72
11,AKAM,ANSS,-3.906993590273978,0.009701179698677438,3.9151626952890473,0.004213461855209452,0.4043211754647691,51.886205610359205,89
12,ALGN,APTV,-4.803627217348563,0.00037187905353713987,0.17125414222385693,4.2285615864068116e-05,0.3783728175115458,31.965835949989913,129
13,ALL,AMAT,-3.730570015755747,0.016731460891114863,1.761428283118661,0.016330630274343293,0.44033047633607514,67.0028957643139,60
14,ALL,AMGN,-4.018522352164338,0.006756423573419962,1.4090975425035959,0.005015983537476925,0.3832225419037184,55.12270126336781,92
15,ALL,AXP,-4.802845892691359,0.00037306149585278683,1.6418632688886348,0.0006893766534130835,0.4039062347442047,42.07533566431465,84
16,ALLE,ANSS,-4.2420302949314825,0.003147423481346567,3.9728479405211248,0.0027697755219667332,0.4167779647148969,50.525093646989774,71
17,AME,AMGN,-3.7898075635213893,0.013985836283655193,0.9346320324130504,0.006673267080998705,0.3881907909119482,54.15081799148193,77
18,AMGN,AXON,-3.83883501027368,0.012022820055400014,1.6010820739476177,0.015799717456267574,0.40444925321014963,67.54688428129646,72
19,ANET,AVGO,-3.8867876175713056,0.010343664583749747,4.295049013297422,0.0006903174507732792,0.42770812864036023,41.96109131654967,67
20,APD,AWK,-3.8022939657472206,0.013460704744559663,0.5177665122586945,0.001013203194948279,0.4020438906828422,47.0029159902609,104
